Date,Open,High,Low,Close,AdjClose,Volume
1997-12-01,55.000000,56.656250,54.437500,56.125000,41.122169,42618200
1997-12-08,56.437500,56.750000,48.187500,50.187500,36.771835,55879800
1997-12-15,50.750000,52.750000,48.500000,51.062500,37.412930,53658000
1997-12-22,52.375000,52.375000,49.312500,50.843750,37.252644,19903200
1997-12-29,51.437500,52.875000,51.375000,52.812500,38.695133,22473600
1998-01-05,52.781250,53.593750,49.687500,50.031250,36.657345,48246000
1998-01-12,49.125000,52.593750,48.750000,52.500000,38.466167,49222800
1998-01-19,52.593750,54.187500,49.250000,49.593750,36.336784,58746800
1998-01-26,49.625000,49.968750,47.812500,49.375000,36.176514,44667400
1998-02-02,50.000000,50.625000,48.875000,49.000000,35.901749,38333600
1998-02-09,49.062500,51.812500,48.750000,51.187500,37.579998,43382200
1998-02-16,51.531250,52.312500,50.656250,51.312500,37.671768,30223200
1998-02-23,51.718750,52.937500,50.875000,52.218750,38.337109,30413000
1998-03-02,52.093750,52.281250,49.062500,49.062500,36.019894,42069000
1998-03-09,48.562500,50.562500,47.937500,49.812500,36.570518,39823400
1998-03-16,49.843750,51.625000,49.625000,51.031250,37.465286,34587600
1998-03-23,50.781250,53.343750,50.687500,52.187500,38.314175,35866200
1998-03-30,52.062500,53.343750,51.250000,52.343750,38.428883,27599000
1998-04-06,53.125000,53.250000,51.781250,53.187500,39.048344,24252200
1998-04-13,53.281250,55.000000,52.093750,53.875000,39.553074,35114400
1998-04-20,53.968750,60.000000,53.593750,58.687500,43.086235,65015400
1998-04-27,58.125000,59.250000,57.187500,58.437500,42.902702,37845000
1998-05-04,58.562500,60.000000,58.062500,60.000000,44.049831,30146800
1998-05-11,60.093750,64.656250,58.656250,62.468750,45.948086,57272000
1998-05-18,62.375000,63.500000,60.562500,60.968750,44.844791,30707600
1998-05-25,61.187500,61.500000,58.687500,58.750000,43.212822,28645000
1998-06-01,58.687500,59.500000,56.937500,59.437500,43.718510,35283800
1998-06-08,59.375000,60.000000,57.000000,58.125000,42.753101,27453000
1998-06-15,57.312500,57.718750,53.000000,53.062500,39.029438,55530200
